creator_id,platform,content_type,time_slot,avg_engagement
1,YouTube,SHORT,16,0.756
1,YouTube,SHORT,17,0.717
1,YouTube,SHORT,18,0.391
1,YouTube,SHORT,19,0.274
1,YouTube,SHORT,20,0.443
1,YouTube,SHORT,21,0.414
1,YouTube,SHORT,22,0.381
1,YouTube,SHORT,23,0.816
1,YouTube,LONG,0,1.142
1,YouTube,LONG,1,0.65
1,YouTube,LONG,2,0.949
1,YouTube,LONG,3,0.721
1,YouTube,LONG,4,1.175
1,YouTube,LONG,5,0.776
1,YouTube,LONG,6,0.607
1,YouTube,LONG,7,0.591
1,YouTube,LONG,8,0.866
1,YouTube,LONG,9,0.605
1,YouTube,LONG,10,0.887
1,YouTube,LONG,11,1.161
1,YouTube,LONG,12,0.724
1,YouTube,LONG,13,0.567
1,YouTube,LONG,14,1.248
1,YouTube,LONG,15,0.821
1,YouTube,LONG,16,0.455
1,YouTube,LONG,17,0.416
1,YouTube,LONG,18,0.471
1,YouTube,LONG,19,0.924
1,YouTube,LONG,20,1.068
1,YouTube,LONG,21,0.744
1,YouTube,LONG,22,0.431
1,YouTube,LONG,23,0.709
2,Instagram,SHORT,0,1.247
2,Instagram,SHORT,1,0.838
2,Instagram,SHORT,2,1.225
2,Instagram,SHORT,3,1.128
2,Instagram,SHORT,4,0.385
2,Instagram,SHORT,5,1.006
2,Instagram,SHORT,6,0.971
2,Instagram,SHORT,7,0.845
2,Instagram,SHORT,8,0.608
2,Instagram,SHORT,9,0.936
2,Instagram,SHORT,10,0.473
2,Instagram,SHORT,11,0.755
2,Instagram,SHORT,12,0.772
2,Instagram,SHORT,13,1.21
2,Instagram,SHORT,14,1.141
2,Instagram,SHORT,15,0.605
2,Instagram,SHORT,16,0.813
2,Instagram,SHORT,17,0.531
2,Instagram,SHORT,18,1.174
2,Instagram,SHORT,19,1.137
2,Instagram,SHORT,20,0.636
2,Instagram,SHORT,21,0.934
2,Instagram,SHORT,22,0.908
2,Instagram,SHORT,23,0.509
2,Instagram,LONG,0,0.709
2,Instagram,LONG,1,0.576
2,Instagram,LONG,2,0.718
2,Instagram,LONG,3,0.571
2,Instagram,LONG,4,0.255
2,Instagram,LONG,5,0.448
2,Instagram,LONG,6,0.267
2,Instagram,LONG,7,0.808
2,Instagram,LONG,8,0.778
2,Instagram,LONG,9,0.75
2,Instagram,LONG,10,0.438
2,Instagram,LONG,11,0.289
2,Instagram,LONG,12,0.777
2,Instagram,LONG,13,0.818
2,Instagram,LONG,14,0.306
2,Instagram,LONG,15,0.544
2,Instagram,LONG,16,0.296
2,Instagram,LONG,17,0.708
2,Instagram,LONG,18,0.711
2,Instagram,LONG,19,0.331
2,Instagram,LONG,20,0.538
2,Instagram,LONG,21,0.582
2,Instagram,LONG,22,0.413
2,Instagram,LONG,23,0.774
2,YouTube,SHORT,0,0.507
2,YouTube,SHORT,1,0.381
2,YouTube,SHORT,2,0.576
2,YouTube,SHORT,3,0.689
2,YouTube,SHORT,4,0.375
2,YouTube,SHORT,5,0.44
2,YouTube,SHORT,6,0.847
2,YouTube,SHORT,7,0.642
2,YouTube,SHORT,8,0.516
2,YouTube,SHORT,9,0.563
2,YouTube,SHORT,10,0.327
2,YouTube,SHORT,11,0.389
2,YouTube,SHORT,12,0.456
2,YouTube,SHORT,13,0.605
2,YouTube,SHORT,14,0.392
2,YouTube,SHORT,15,0.386
2,YouTube,SHORT,16,0.297
2,YouTube,SHORT,17,0.631
2,YouTube,SHORT,18,0.391
2,YouTube,SHORT,19,0.794
2,YouTube,SHORT,20,0.766
2,YouTube,SHORT,21,0.297
2,YouTube,SHORT,22,0.397
2,YouTube,SHORT,23,0.653
2,YouTube,LONG,0,0.562
2,YouTube,LONG,1,0.491
2,YouTube,LONG,2,1.194
2,YouTube,LONG,3,0.875
2,YouTube,LONG,4,0.789
2,YouTube,LONG,5,1.062
2,YouTube,LONG,6,1.082
2,YouTube,LONG,7,0.542
2,YouTube,LONG,8,0.46
2,YouTube,LONG,9,0.752
2,YouTube,LONG,10,0.746
2,YouTube,LONG,11,0.784
2,YouTube,LONG,12,1.013
2,YouTube,LONG,13,0.964
2,YouTube,LONG,14,1.236
2,YouTube,LONG,15,0.461
2,YouTube,LONG,16,0.727
2,YouTube,LONG,17,0.672
2,YouTube,LONG,18,1.129
2,YouTube,LONG,19,0.593
2,YouTube,LONG,20,0.541
2,YouTube,LONG,21,0.768
2,YouTube,LONG,22,0.744
2,YouTube,LONG,23,0.619
3,Instagram,SHORT,0,0.594
3,Instagram,SHORT,1,1.183
3,Instagram,SHORT,2,0.763
3,Instagram,SHORT,3,1.129
3,Instagram,SHORT,4,0.857
3,Instagram,SHORT,5,0.419
3,Instagram,SHORT,6,1.249
3,Instagram,SHORT,7,1.107
3,Instagram,SHORT,8,1.223
3,Instagram,SHORT,9,1.186
3,Instagram,SHORT,10,1.118
3,Instagram,SHORT,11,0.521
3,Instagram,SHORT,12,0.8
3,Instagram,SHORT,13,0.562
3,Instagram,SHORT,14,0.726
3,Instagram,SHORT,15,0.426
3,Instagram,SHORT,16,0.707
3,Instagram,SHORT,17,1.237
3,Instagram,SHORT,18,0.607
3,Instagram,SHORT,19,1.061
3,Instagram,SHORT,20,0.773
3,Instagram,SHORT,21,0.745
3,Instagram,SHORT,22,1.213
3,Instagram,SHORT,23,1.246
3,Instagram,LONG,0,0.586
3,Instagram,LONG,1,0.682
3,Instagram,LONG,2,0.347
3,Instagram,LONG,3,0.432
3,Instagram,LONG,4,0.831
3,Instagram,LONG,5,0.6
3,Instagram,LONG,6,0.578
3,Instagram,LONG,7,0.7
3,Instagram,LONG,8,0.289
3,Instagram,LONG,9,0.603
3,Instagram,LONG,10,0.554
3,Instagram,LONG,11,0.762
3,Instagram,LONG,12,0.349
3,Instagram,LONG,13,0.827
3,Instagram,LONG,14,0.303
3,Instagram,LONG,15,0.366
3,Instagram,LONG,16,0.609
3,Instagram,LONG,17,0.657
3,Instagram,LONG,18,0.395
3,Instagram,LONG,19,0.326
3,Instagram,LONG,20,0.785
3,Instagram,LONG,21,0.401
3,Instagram,LONG,22,0.609
3,Instagram,LONG,23,0.624
3,YouTube,SHORT,0,0.504
3,YouTube,SHORT,1,0.602
3,YouTube,SHORT,2,0.566
3,YouTube,SHORT,3,0.811
3,YouTube,SHORT,4,0.377
3,YouTube,SHORT,5,0.681
3,YouTube,SHORT,6,0.397
3,YouTube,SHORT,7,0.49
3,YouTube,SHORT,8,0.655
3,YouTube,SHORT,9,0.433
3,YouTube,SHORT,10,0.443
3,YouTube,SHORT,11,0.702
3,YouTube,SHORT,12,0.298
3,YouTube,SHORT,13,0.528
3,YouTube,SHORT,14,0.849
3,YouTube,SHORT,15,0.848
3,YouTube,SHORT,16,0.299
3,YouTube,SHORT,17,0.382
3,YouTube,SHORT,18,0.413
3,YouTube,SHORT,19,0.81
3,YouTube,SHORT,20,0.779
3,YouTube,SHORT,21,0.778
3,YouTube,SHORT,22,0.475
3,YouTube,SHORT,23,0.349
3,YouTube,LONG,0,1.105
3,YouTube,LONG,1,0.991
3,YouTube,LONG,2,0.91
3,YouTube,LONG,3,1.239
3,YouTube,LONG,4,0.947
3,YouTube,LONG,5,0.382
3,YouTube,LONG,6,1.09
3,YouTube,LONG,7,0.637
3,YouTube,LONG,8,0.955
3,YouTube,LONG,9,1.197
3,YouTube,LONG,10,0.493
3,YouTube,LONG,11,0.476
3,YouTube,LONG,12,0.469
3,YouTube,LONG,13,0.859
3,YouTube,LONG,14,0.613
3,YouTube,LONG,15,0.904
3,YouTube,LONG,16,1.003
3,YouTube,LONG,17,0.553
3,YouTube,LONG,18,0.93
3,YouTube,LONG,19,0.606
3,YouTube,LONG,20,0.802
3,YouTube,LONG,21,1.167
3,YouTube,LONG,22,1.115
3,YouTube,LONG,23,0.456
